@relation mobile_gt
@attribute srcport numeric
@attribute proto numeric
@attribute dstport numeric
@attribute totalpkts numeric
@attribute totalsize numeric
@attribute minsize numeric
@attribute maxsize numeric
@attribute meansize numeric
@attribute stdsize numeric
@attribute kurtosisSize numeric
@attribute skewnessSize numeric
@attribute standardErrorSize numeric
@attribute miniat numeric
@attribute maxiat numeric
@attribute meaniat numeric
@attribute stdiat numeric
@attribute duration numeric
@attribute appName {'WeChat','Weibo','bilibili','iQIYI','手机淘宝','京东','Alipay','携程旅行','马蜂窝旅游','QQMusic','酷狗音乐','拼多多','今日头条','新浪新闻','Tencent news','NetEase News','抖音短视频','Meituan','Ximalaya','NetEase Music'}
@data
39997,6,80,10,1368,40,665,136.8,198.54158,2.76041,2.13935,62.78436,0.000069,0.210198,0.04944,0.0791,0.444954,WeChat
41453,6,80,156,79503,40,1400,509.63462,624.34559,-1.46691,0.71391,49.98765,0,0.174266,0.009,0.02535,1.395609,Ximalaya
38582,6,80,137,77778,40,1400,567.72263,644.66049,-1.72231,0.49072,55.07706,0,10.971957,0.09081,0.93694,12.350254,Ximalaya
45869,6,80,127,74774,40,1400,588.77165,647.41635,-1.77937,0.42433,57.44891,0,0.158214,0.00897,0.02485,1.129857,Ximalaya
43048,6,80,21,8313,40,1400,395.85714,564.77803,-0.40699,1.24913,123.24467,0.000002,0.12193,0.03951,0.04901,0.790183,Ximalaya
43048,6,80,4,160,40,40,40,0,-3,0,0,0.000047,0.224172,0.07518,0.10536,0.225529,Ximalaya
48597,6,80,141,82603,40,1400,585.83688,646.18429,-1.77334,0.43394,54.41853,0,5.029077,0.04699,0.42384,6.579283,Ximalaya
48092,6,80,9,1959,52,1031,217.66667,326.18604,2.01867,1.95756,108.72868,0.004458,4.781728,0.71997,1.53689,5.759748,Ximalaya
38552,6,80,137,77946,40,1400,568.94891,644.20842,-1.72256,0.49551,55.03844,0,5.04609,0.04554,0.43115,6.193373,Ximalaya
39867,6,80,10,2174,40,1105,217.4,357.54586,1.6931,1.90109,113.06593,0.00397,0.208032,0.08063,0.07872,0.725709,WeChat
43058,6,80,120,77241,40,1400,643.675,665.98623,-1.92072,0.24521,60.79595,0,0.202842,0.00807,0.03208,0.959838,Ximalaya
42844,6,80,159,80166,40,1400,504.18868,620.94521,-1.43973,0.71582,49.24416,0,7.470555,0.05653,0.59232,8.93188,Ximalaya
45891,6,80,135,74961,40,1400,555.26667,641.88514,-1.68026,0.53706,55.24468,0,0.147065,0.00779,0.02288,1.044355,Ximalaya
48150,6,80,13,2752,52,1400,211.69231,375.99926,5.47243,2.68934,104.28343,0,4.758258,0.48719,1.29143,5.846289,Ximalaya
45614,6,80,13,2589,40,1268,199.15385,356.34379,4.16599,2.4544,98.83199,0.000024,18.550436,2.04345,5.13704,24.521433,Ximalaya
38554,6,80,137,72289,40,1400,527.65693,635.40683,-1.57423,0.63199,54.28647,0,12.859388,0.10432,1.09832,14.187374,Ximalaya
48632,6,80,10,1702,40,741,170.2,254.20181,0.86627,1.71968,80.38567,0.004026,0.229885,0.08738,0.09117,0.786451,WeChat
45798,6,80,130,76283,40,1400,586.79231,648.15839,-1.7774,0.42588,56.84725,0,5.03316,0.0486,0.44145,6.269099,Ximalaya
38470,6,80,138,76650,40,1400,555.43478,648.30456,-1.70885,0.51557,55.18735,0,1.000799,0.03355,0.1416,4.596942,Ximalaya
48599,6,80,133,76293,40,1400,573.63158,645.49379,-1.73842,0.47226,55.97141,0,5.044062,0.04662,0.43755,6.154379,Ximalaya
44325,6,80,10,1878,40,785,187.8,287.84051,0.63097,1.66946,91.02316,0.002829,0.242681,0.0928,0.08654,0.835173,WeChat
42384,6,80,161,80528,40,1400,500.17391,624.12348,-1.44464,0.71683,49.18782,0,5.051593,0.04755,0.39876,7.608513,Ximalaya
41467,6,80,134,75152,40,1400,560.83582,642.19305,-1.69354,0.52822,55.47703,0,0.169416,0.00845,0.02445,1.123302,Ximalaya
41457,6,80,131,77556,40,1400,592.03053,646.61393,-1.77863,0.41079,56.49492,0,0.162387,0.00906,0.02626,1.178015,Ximalaya
38462,6,80,134,76819,40,1400,573.27612,640.43356,-1.71767,0.478,55.32503,0,0.14356,0.00872,0.02431,1.160163,Ximalaya
37848,6,80,16,4246,40,1400,265.375,399.09897,2.35208,1.9365,99.77474,0.000021,18.948674,1.98945,4.79753,29.841803,Ximalaya
41459,6,80,133,77660,40,1400,583.90977,647.75446,-1.77127,0.42831,56.16744,0,0.153609,0.00797,0.02166,1.05141,Ximalaya
42828,6,80,131,80580,40,1400,615.1145,654.43185,-1.85142,0.32839,57.17798,0,0.136141,0.0083,0.02284,1.078654,Ximalaya
48591,6,80,133,77833,40,1400,585.21053,646.10215,-1.76708,0.43116,56.02416,0,9.805213,0.0858,0.85008,11.325363,Ximalaya
