@relation flows-weka.filters.unsupervised.attribute.Remove-R5-15-weka.filters.unsupervised.attribute.Remove-R1

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute app {BG,FG}

@data
443,55326,6,71,93029,40,1480,1310.26761,420.67561,0.000001,31.877246,0.59151,3.78411,41.405352,65,9450,40,1400,145.38462,302.46641,0.000163,31.733907,0.60235,3.9312,38.550212,BG
443,36315,6,12,4654,40,1500,387.83333,507.98504,0.000005,119.651001,10.98774,34.36254,120.865137,14,2141,40,1277,152.92857,315.56445,0.000013,119.327627,9.31003,31.75968,121.030353,BG
443,56403,6,14,7870,40,1500,562.14286,649.02981,0.000004,16.174448,1.34065,4.28407,17.428419,13,1759,40,893,135.30769,224.45845,0.000482,16.067075,1.42755,4.41447,17.130595,BG
80,48875,6,9,994,40,654,110.44444,192.27706,0.000543,3.632053,1.15978,1.16226,9.278204,5,394,40,214,78.8,68.04234,0.027077,1.955911,0.56035,0.80694,2.24139,BG
443,33828,6,11,1020,40,354,92.72727,88.2415,0.000012,30.008683,3.08491,8.97523,30.849074,12,1534,40,640,127.83333,181.12281,0.000222,30.014957,2.83264,8.59609,31.159087,BG
80,34709,6,7,1149,40,888,164.14286,295.59259,0.000407,1.288865,0.61951,0.50073,3.717053,6,513,40,281,85.5,87.75297,0.049812,1.179857,0.36707,0.41408,1.83536,BG
80,58496,6,62,86242,40,1500,1391,370.40044,0,0.212803,0.00998,0.03256,0.608841,56,3335,40,407,59.55357,47.40062,0.000003,0.259008,0.01251,0.0373,0.688012,BG
80,46931,6,14,13467,40,1500,961.92857,601.36374,0.000003,59.134207,6.84964,16.93981,89.045294,12,816,40,272,68,62.11817,0.000681,59.196633,8.09507,18.13582,89.045778,BG
443,43580,6,14,5090,40,1500,363.57143,532.80628,0.000002,0.940141,0.21043,0.2861,2.735582,12,1196,40,292,99.66667,90.86467,0.0006,0.468887,0.09924,0.13527,1.091627,BG
443,44756,6,17,1044,40,155,61.41176,31.49241,0.000288,26.431951,4.40281,6.84613,70.444991,11,1107,40,252,100.63636,81.07379,0.000205,9.641303,1.75784,3.01666,17.578351,BG
80,41521,6,8,894,52,502,111.75,147.64971,0.000005,10.045637,1.68578,3.42123,11.800494,6,1490,52,1222,248.33333,435.44677,0.000451,9.893494,2.05203,3.92175,10.260156,BG
80,46929,6,26,32046,40,1500,1232.53846,512.27526,0,58.269969,2.40037,11.40481,60.009212,14,985,40,297,70.35714,63.31509,0.000009,58.319998,4.62794,15.50066,60.163248,BG
80,42024,6,12,1002,40,376,83.5,99.54856,0.000004,119.998448,12.27283,34.3199,135.00116,13,6586,40,1400,506.61538,611.57923,0.000445,120.133009,11.25032,33.06725,135.003855,BG
80,47366,6,30,33066,52,1500,1102.2,620.14242,0,8.042869,0.39637,1.47391,11.494804,24,1712,52,300,71.33333,48.0509,0.000013,7.924408,0.37541,1.61034,8.634357,BG
80,37205,6,12,8125,40,1500,677.08333,698.28068,0.000001,1.344787,0.22962,0.40868,2.525841,11,773,40,285,70.27273,68.30425,0.000195,1.236732,0.14879,0.36507,1.487896,BG
80,39648,6,9,1824,52,1400,202.66667,423.32861,0.017886,20.001602,3.12071,6.42043,24.965677,5,698,52,482,139.6,171.22804,0.101098,24.986496,6.32251,10.77566,25.290022,BG
443,48258,6,25,22947,40,1500,917.88,650.60884,0.000001,45.025718,2.82306,9.37321,67.753471,24,2772,40,653,115.5,172.18474,0.000506,45.010674,2.94582,9.55238,67.75394,BG
443,56922,6,16,9934,40,1500,620.875,672.05625,0.000004,2.144825,0.3935,0.63987,5.90255,12,1259,40,317,104.91667,98.8184,0.000476,2.133297,0.24896,0.59778,2.738602,BG
