@relation flows-weka.filters.unsupervised.attribute.Remove-R16-37-weka.filters.unsupervised.attribute.Remove-R1

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute app {BG,FG}

@data
443,56403,6,27,9629,40,1500,356.62963,536.80814,0.000004,16.067075,0.67037,3.08033,17.429536,BG
80,48875,6,14,1388,40,654,99.14286,160.15656,0.000543,3.632053,0.71412,1.06703,9.2835,BG
443,33828,6,23,2554,40,640,111.04348,145.42157,0.000012,29.928834,1.41632,6.22212,31.159087,BG
80,34709,6,13,1662,40,888,127.84615,228.34011,0.000407,1.254063,0.31253,0.43782,3.750322,BG
80,58496,6,118,89577,40,1500,759.12712,717.77025,0,0.139848,0.00588,0.01992,0.688012,BG
80,46931,6,26,14283,40,1500,549.34615,628.57317,0.000003,59.041399,3.56185,12.65415,89.046287,BG
443,43580,6,26,6286,40,1500,241.76923,417.10774,0.000002,0.940141,0.10947,0.2143,2.736733,BG
443,44756,6,28,2151,40,252,76.82143,59.5933,0.000205,26.431951,2.60933,5.6768,70.451997,BG
80,41521,6,14,2384,52,1222,170.28571,313.51086,0.000005,9.893494,0.91116,2.6019,11.84508,BG
80,46929,6,40,33031,40,1500,825.775,692.28341,0,58.166934,1.54265,9.18604,60.163248,BG
80,42024,6,25,7588,40,1400,303.52,493.89976,0.000004,119.952498,5.62539,24.01159,135.009374,BG
80,47366,6,54,34778,52,1500,644.03704,690.70361,0,7.924408,0.21754,1.09139,11.529828,BG
80,37205,6,23,8898,40,1500,386.86957,590.3473,0.000001,1.236732,0.11486,0.29059,2.526932,BG
80,39648,6,14,2522,52,1400,180.14286,355.79325,0.007805,19.926166,1.94539,5.22979,25.290022,BG
443,48258,6,49,25719,40,1500,524.87755,625.59802,0.000001,45.010674,1.41156,6.77152,67.754778,BG
443,56922,6,28,11193,40,1500,399.75,572.25105,0.000004,2.133297,0.21866,0.51262,5.903752,BG
